,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
494,L,297.6,309.4,1326,49.8,199,0,No Failure
495,H,297.5,309.3,1459,49.7,201,0,No Failure
496,M,297.5,309.2,1530,40.0,206,0,No Failure
497,L,297.4,309.0,1505,39.2,209,0,No Failure
498,L,297.5,309.1,1611,30.2,211,0,No Failure
499,L,297.5,309.1,1515,35.1,213,0,No Failure
500,M,297.5,309.2,1804,27.4,215,0,No Failure
501,M,297.6,309.3,1464,46.2,218,0,No Failure
502,L,297.6,309.2,1390,43.3,221,0,No Failure
503,M,297.6,309.2,1442,48.1,0,0,No Failure
504,M,297.6,309.3,1529,41.9,3,0,No Failure
505,L,297.6,309.3,1610,35.0,6,0,No Failure
506,L,297.6,309.3,1543,34.3,8,0,No Failure
507,H,297.8,309.4,1445,48.2,10,0,No Failure
508,L,297.7,309.3,1893,24.6,15,0,No Failure
509,M,297.6,309.3,1415,41.3,17,0,No Failure
510,L,297.5,309.3,1564,37.5,20,0,No Failure
511,L,297.5,309.3,1479,39.4,22,0,No Failure
512,L,297.5,309.2,1426,44.8,24,0,No Failure
513,L,297.4,309.2,1428,38.8,26,0,No Failure
514,L,297.4,309.2,1620,33.2,28,0,No Failure
515,L,297.5,309.2,1715,28.0,30,0,No Failure
516,L,297.5,309.3,1732,29.9,32,0,No Failure
517,M,297.5,309.4,1391,58.2,34,0,No Failure
518,L,297.6,309.5,1924,20.6,37,0,No Failure
519,M,297.7,309.5,2027,19.8,39,0,No Failure
520,L,297.6,309.5,1617,36.2,42,0,No Failure
521,L,297.5,309.4,1497,35.8,44,0,No Failure
522,M,297.5,309.5,1448,43.7,46,0,No Failure
523,L,297.4,309.4,1401,45.9,49,0,No Failure
524,L,297.4,309.4,1620,35.4,51,0,No Failure
525,L,297.4,309.4,1466,45.5,53,0,No Failure
526,L,297.6,309.5,1373,50.6,55,0,No Failure
527,M,297.6,309.6,1592,35.8,57,0,No Failure
528,M,297.5,309.5,1553,42.4,60,0,No Failure
529,L,297.6,309.5,1569,36.2,63,0,No Failure
530,M,297.6,309.5,1709,32.2,65,0,No Failure
531,L,297.6,309.5,1549,34.9,68,0,No Failure
532,L,297.5,309.4,1443,45.4,70,0,No Failure
533,L,297.5,309.3,1675,29.8,72,0,No Failure
534,L,297.5,309.3,1623,33.4,74,0,No Failure
535,H,297.4,309.3,1365,52.4,76,0,No Failure
536,L,297.4,309.3,1759,24.8,81,0,No Failure
537,H,297.4,309.3,1516,43.0,83,0,No Failure
538,M,297.4,309.3,1499,36.8,88,0,No Failure
539,M,297.4,309.3,1775,25.8,91,0,No Failure
540,L,297.4,309.4,1473,45.5,94,0,No Failure
541,L,297.4,309.4,1296,52.3,96,0,No Failure
542,L,297.5,309.4,1803,24.7,98,0,No Failure
543,H,297.5,309.3,1563,36.1,100,0,No Failure
544,M,297.5,309.4,1831,26.6,105,0,No Failure
545,L,297.6,309.4,1958,22.1,108,0,No Failure
546,L,297.5,309.4,1809,24.3,110,0,No Failure
547,M,297.5,309.4,1482,39.3,112,0,No Failure
548,L,297.4,309.3,1332,53.2,115,0,No Failure
549,L,297.4,309.2,1437,40.4,117,0,No Failure
550,L,297.4,309.2,1698,29.4,119,0,No Failure
551,L,297.4,309.2,1274,54.3,121,0,No Failure
552,M,297.4,309.3,1622,35.0,123,0,No Failure
553,M,297.4,309.3,1564,36.0,126,0,No Failure
554,H,297.5,309.4,1368,45.3,129,0,No Failure
555,M,297.4,309.4,1539,42.2,134,0,No Failure
556,L,297.5,309.4,1357,50.1,137,0,No Failure
557,M,297.5,309.4,1433,48.3,139,0,No Failure
558,L,297.5,309.4,1650,34.6,142,0,No Failure
559,L,297.5,309.4,1503,40.6,144,0,No Failure
560,L,297.5,309.4,1318,58.2,146,0,No Failure
561,M,297.5,309.4,1678,34.4,148,0,No Failure
562,L,297.6,309.5,1574,30.9,151,0,No Failure
563,L,297.7,309.6,1529,35.2,153,0,No Failure
564,H,297.6,309.6,1669,32.1,155,0,No Failure
565,H,297.7,309.7,1570,35.8,160,0,No Failure
566,M,297.6,309.7,1541,33.7,165,0,No Failure
567,M,297.7,309.7,1680,30.2,168,0,No Failure
568,L,297.8,309.7,1935,22.1,171,0,No Failure
569,M,297.7,309.6,1596,35.2,173,0,No Failure
570,L,297.7,309.7,1498,41.0,176,0,No Failure
571,M,297.8,309.8,1676,29.0,178,0,No Failure
572,L,297.8,309.9,1351,49.0,181,0,No Failure
573,L,297.9,309.9,1472,45.0,183,0,No Failure
574,M,297.9,310.0,1439,41.7,185,0,No Failure
575,M,297.9,309.9,1410,55.4,188,0,No Failure
576,H,297.7,309.7,1440,51.1,191,0,No Failure
577,L,297.7,309.7,1591,37.7,196,0,No Failure
578,L,297.8,309.8,1533,36.8,198,0,No Failure
579,M,297.8,309.7,1700,31.3,200,0,No Failure
580,M,297.8,309.8,1798,25.5,203,0,No Failure
581,L,297.8,309.7,1394,42.9,206,0,No Failure
582,L,297.8,309.7,1341,49.2,208,0,No Failure
583,H,297.7,309.6,1697,32.2,210,0,No Failure
584,H,297.6,309.6,1419,48.2,215,0,No Failure
585,L,297.6,309.5,2001,20.5,220,0,No Failure
586,L,297.6,309.6,1501,49.8,222,1,Overstrain Failure
587,H,297.6,309.5,1623,33.1,224,0,No Failure
588,L,297.6,309.4,1628,33.4,229,0,No Failure
589,L,297.6,309.4,1491,40.2,231,0,No Failure
590,L,297.5,309.4,1517,36.7,233,0,No Failure
591,H,297.5,309.3,1525,41.7,235,0,No Failure
592,H,297.5,309.5,1668,27.9,240,0,No Failure
593,L,297.5,309.6,1312,50.7,0,0,No Failure
594,H,297.6,309.6,1278,50.4,2,0,No Failure
595,M,297.6,309.6,1330,53.1,7,0,No Failure
596,M,297.6,309.6,1530,37.3,10,0,No Failure
597,H,297.6,309.6,1428,46.6,13,0,No Failure
598,L,297.7,309.6,1480,47.9,18,0,No Failure
599,H,297.7,309.7,1616,31.1,20,0,No Failure
600,L,297.8,309.7,1547,37.3,25,0,No Failure
601,L,297.9,309.7,2194,16.8,27,0,No Failure
602,L,297.9,309.8,2000,21.3,29,0,No Failure
603,L,297.9,309.8,1336,71.6,31,1,Power Failure
604,L,297.9,309.9,1542,33.8,33,0,No Failure
605,M,297.9,309.8,1693,29.9,35,0,No Failure
606,L,297.9,309.8,1461,50.5,38,0,No Failure
607,M,298.0,309.9,1565,33.9,40,0,No Failure
608,L,298.0,309.9,1403,47.7,43,0,No Failure
609,L,298.1,309.9,1629,32.5,45,0,No Failure
610,L,298.1,310.0,1534,33.7,47,0,No Failure
611,L,298.1,310.0,1553,40.9,49,0,No Failure
612,L,298.1,309.9,1563,32.8,51,0,No Failure
613,L,298.1,309.9,1634,30.0,53,0,No Failure
614,M,298.0,309.9,1445,45.2,55,0,No Failure
615,L,298.1,309.9,1642,30.4,58,0,No Failure
616,H,298.1,309.9,1686,29.1,60,0,No Failure
617,M,298.1,310.0,1393,43.1,65,0,No Failure
618,H,298.2,310.0,1433,44.2,68,0,No Failure
619,L,298.3,310.0,1507,44.7,73,0,No Failure
620,M,298.3,310.1,1389,49.6,75,0,No Failure
621,L,298.3,310.1,1408,45.3,78,0,No Failure
622,M,298.4,310.2,1725,32.0,80,0,No Failure
623,L,298.4,310.1,1926,23.7,83,0,No Failure
624,H,298.3,310.1,1509,37.6,85,0,No Failure
625,L,298.3,310.1,1545,36.3,90,0,No Failure
626,L,298.4,310.1,1533,35.2,92,0,No Failure
627,L,298.4,310.1,1455,42.2,94,0,No Failure
628,M,298.4,310.1,1335,57.8,96,0,No Failure
629,L,298.3,310.1,1523,45.9,99,0,No Failure
630,L,298.3,310.0,1460,47.6,101,0,No Failure
631,L,298.4,310.0,1554,37.3,103,0,No Failure
632,H,298.3,310.0,1419,47.1,105,0,No Failure
633,L,298.3,310.0,1442,43.9,110,0,No Failure
634,L,298.3,309.9,1507,41.6,112,0,No Failure
635,L,298.3,310.0,1858,23.9,114,0,No Failure
636,L,298.3,309.9,1463,43.9,116,0,No Failure
637,L,298.2,309.7,1585,37.4,118,0,No Failure
638,L,298.0,309.6,1536,37.3,120,0,No Failure
639,L,298.0,309.6,1403,51.3,122,0,No Failure
640,M,297.9,309.6,1515,38.8,124,0,No Failure
641,L,297.9,309.5,1390,47.9,127,0,No Failure
642,M,297.8,309.4,1226,58.7,129,0,No Failure
643,M,297.8,309.4,1495,36.5,132,0,No Failure
644,H,297.7,309.4,1608,30.2,135,0,No Failure
645,L,297.7,309.4,1392,44.1,140,0,No Failure
646,M,297.7,309.4,1461,43.7,142,0,No Failure
647,L,297.7,309.3,1559,36.9,145,0,No Failure
648,H,297.7,309.3,1400,48.9,147,0,No Failure
649,M,297.7,309.2,1732,28.8,152,0,No Failure
650,L,297.6,309.2,1611,33.1,155,0,No Failure
651,L,297.6,309.1,1503,38.9,157,0,No Failure
652,L,297.7,309.2,1391,44.5,159,0,No Failure
653,L,297.8,309.3,2015,20.1,161,0,No Failure
654,L,297.8,309.2,1683,30.9,163,0,No Failure
655,L,297.7,309.1,1435,38.8,165,0,No Failure
656,M,297.7,309.1,1732,28.1,167,0,No Failure
657,L,297.7,309.2,1365,58.6,170,0,No Failure
658,L,297.7,309.1,1562,36.8,172,0,No Failure
659,L,297.6,309.1,1449,49.1,174,0,No Failure
660,M,297.7,309.2,1700,27.4,176,0,No Failure
661,M,297.6,309.0,1427,45.6,179,0,No Failure
662,M,297.6,308.9,1479,38.1,182,0,No Failure
663,L,297.5,308.9,1469,44.0,185,0,No Failure
664,L,297.5,308.9,1390,47.4,187,0,No Failure
665,L,297.5,308.9,1729,28.1,189,0,No Failure
666,L,297.5,309.0,1470,43.5,191,0,No Failure
667,L,297.5,308.9,1459,48.5,193,0,No Failure
668,L,297.5,308.9,1738,24.0,195,0,No Failure
669,H,297.5,308.9,1471,37.7,197,0,No Failure
670,L,297.6,309.0,1822,25.4,202,0,No Failure
671,L,297.5,308.9,1554,34.8,204,0,No Failure
672,M,297.6,308.9,1433,43.2,206,0,No Failure
673,L,297.6,308.9,1449,47.7,209,0,No Failure
674,L,297.8,309.0,1456,41.2,0,0,No Failure
675,M,297.8,309.1,1424,45.5,2,0,No Failure
676,H,297.9,309.2,1577,34.7,5,0,No Failure
677,L,297.9,309.2,1478,39.7,10,0,No Failure
678,M,297.8,309.2,1295,61.2,12,0,No Failure
679,L,297.8,309.2,1372,47.3,15,0,No Failure
680,M,297.8,309.1,1432,42.6,17,0,No Failure
681,M,297.7,309.0,1656,33.2,20,0,No Failure
682,H,297.8,309.0,1410,48.8,23,0,No Failure
683,L,297.7,309.0,1874,24.4,28,0,No Failure
684,L,297.7,309.0,1538,43.2,30,0,No Failure
685,M,297.7,309.0,1636,29.7,32,0,No Failure
686,M,297.7,309.0,1504,40.4,35,0,No Failure
687,M,297.7,309.0,1531,42.4,38,0,No Failure
688,H,297.6,309.0,1735,26.4,41,0,No Failure
689,H,297.6,309.0,1354,55.6,46,0,No Failure
690,H,297.6,309.0,1413,40.2,51,0,No Failure
691,L,297.7,309.1,1563,39.3,56,0,No Failure
692,L,297.7,309.1,1479,42.1,58,0,No Failure
693,L,297.7,309.1,1477,38.3,60,0,No Failure
694,L,297.6,309.1,1394,50.0,62,0,No Failure
695,L,297.6,309.0,1487,45.4,64,0,No Failure
696,M,297.6,309.0,1815,25.3,66,0,No Failure
697,M,297.6,308.8,1453,39.7,69,0,No Failure
698,L,297.6,308.8,1539,40.2,72,0,No Failure
699,H,297.5,308.7,1416,39.2,74,0,No Failure
700,M,297.6,308.8,1683,31.6,79,0,No Failure
701,L,297.7,308.8,1515,40.1,82,0,No Failure
702,M,297.7,308.9,1531,48.3,84,0,No Failure
703,H,297.7,308.9,1479,40.9,87,0,No Failure
704,L,297.7,308.9,1516,33.7,92,0,No Failure
705,L,297.7,309.0,1507,38.2,94,0,No Failure
706,M,297.8,309.0,1434,43.3,96,0,No Failure
707,L,297.7,308.9,1838,27.3,99,0,No Failure
708,M,297.6,308.8,1416,45.9,101,0,No Failure
709,M,297.6,308.8,1357,49.7,104,0,No Failure
710,M,297.5,308.7,1697,28.1,107,0,No Failure
711,L,297.5,308.7,1443,46.2,110,0,No Failure
712,L,297.5,308.7,1453,37.6,112,0,No Failure
713,L,297.4,308.6,1439,46.4,114,0,No Failure
714,L,297.4,308.6,1609,36.2,116,0,No Failure
715,L,297.4,308.6,1324,59.1,118,0,No Failure
716,H,297.4,308.6,1420,45.8,120,0,No Failure
717,L,297.4,308.7,1545,36.9,125,0,No Failure
718,L,297.5,308.8,1477,39.0,127,0,No Failure
719,L,297.4,308.8,1447,58.1,129,0,No Failure
720,L,297.4,308.9,1809,23.8,131,0,No Failure
721,L,297.5,308.9,1696,30.9,133,0,No Failure
722,L,297.5,308.9,1427,44.7,135,0,No Failure
723,M,297.4,308.9,1500,46.3,137,0,No Failure
724,L,297.5,308.9,1390,44.6,140,0,No Failure
725,L,297.4,308.8,1640,34.2,142,0,No Failure
726,M,297.4,308.8,1628,37.4,144,0,No Failure
727,H,297.3,308.6,1499,37.6,147,0,No Failure
728,M,297.4,308.7,1425,50.3,152,0,No Failure
729,L,297.3,308.6,1586,37.7,155,0,No Failure
730,M,297.3,308.6,1471,50.7,157,0,No Failure
731,M,297.3,308.6,1431,53.0,160,0,No Failure
732,L,297.2,308.6,1924,22.1,163,0,No Failure
733,M,297.1,308.4,1421,42.0,165,0,No Failure
734,H,297.0,308.4,1305,54.6,168,0,No Failure
735,L,296.9,308.4,1557,32.4,173,0,No Failure
736,L,296.9,308.3,1555,38.2,175,0,No Failure
737,H,296.9,308.3,1474,39.2,177,0,No Failure
738,L,296.8,308.3,1506,45.9,182,0,No Failure
739,L,296.9,308.4,1390,41.8,184,0,No Failure
740,M,296.9,308.4,1450,46.9,186,0,No Failure
741,L,296.9,308.3,1513,38.8,189,0,No Failure
742,L,296.8,308.2,1643,34.7,191,0,No Failure
743,L,296.8,308.2,1361,53.8,193,0,No Failure
744,L,296.7,308.1,1450,40.9,195,0,No Failure
745,L,296.7,308.0,1451,50.7,197,0,No Failure
746,L,296.8,308.1,1289,62.0,199,1,Overstrain Failure
747,L,296.8,308.1,1356,48.3,201,0,No Failure
748,H,296.7,308.1,1528,46.3,203,0,No Failure
749,L,296.6,308.0,1978,22.3,208,0,No Failure
750,L,296.7,308.0,1535,36.8,210,0,No Failure
751,M,296.8,308.1,1843,24.2,212,0,No Failure
752,L,296.9,308.1,1422,48.7,215,0,No Failure
753,L,296.8,308.0,1536,40.4,217,0,No Failure
754,M,296.9,308.1,1483,44.3,219,0,No Failure
755,H,296.8,308.1,1492,43.7,222,0,No Failure
756,L,296.8,308.0,1584,40.4,227,0,No Failure
757,L,296.9,308.1,1555,33.7,229,0,No Failure
758,L,296.8,308.0,1497,41.7,231,0,No Failure
759,M,296.7,307.8,1537,36.3,233,0,No Failure
760,L,296.7,307.8,1505,39.4,236,0,No Failure
761,L,296.7,307.8,1646,34.6,238,0,No Failure
762,M,296.7,307.8,1286,60.5,0,0,No Failure
763,L,296.7,307.8,1400,47.5,3,0,No Failure
764,L,296.8,307.9,1337,56.5,5,0,No Failure
765,L,296.9,308.0,1332,53.9,7,0,No Failure
766,L,296.8,308.0,1561,38.3,9,0,No Failure
767,L,296.9,308.0,1546,31.1,11,0,No Failure
768,L,296.9,308.0,1713,29.3,13,0,No Failure
769,L,296.9,308.0,1343,44.5,15,0,No Failure
770,L,296.8,308.0,1391,54.4,17,0,No Failure
771,H,296.8,308.0,1311,58.6,19,0,No Failure
772,H,296.8,308.0,1453,51.0,24,0,No Failure
773,L,296.8,308.0,1510,39.4,29,0,No Failure
774,L,296.8,307.9,1448,48.8,31,0,No Failure
775,L,296.7,307.8,1453,46.0,33,0,No Failure
776,L,296.7,307.8,1468,39.2,35,0,No Failure
777,L,296.7,307.8,1382,47.5,37,0,No Failure
778,L,296.7,308.0,1580,32.2,39,0,No Failure
779,L,296.8,308.0,1666,29.8,41,0,No Failure
780,M,296.9,308.0,1409,50.7,43,0,No Failure
781,L,296.8,308.0,1675,29.7,46,0,No Failure
782,L,296.8,307.9,1698,30.8,48,0,No Failure
783,H,296.7,307.9,1579,33.4,50,0,No Failure
784,L,296.7,307.9,1743,27.9,55,0,No Failure
785,M,296.9,308.0,1497,44.8,57,0,No Failure
786,L,296.9,308.1,1741,28.8,60,0,No Failure
787,L,296.9,308.1,1435,45.3,62,0,No Failure
788,M,296.9,308.1,1440,46.3,64,0,No Failure
789,M,296.9,308.0,1641,33.3,67,0,No Failure
790,L,296.8,307.9,1420,45.4,70,0,No Failure
791,L,296.8,307.9,1611,35.4,72,0,No Failure
792,L,296.8,307.8,1373,42.9,74,0,No Failure
793,M,296.8,307.9,1683,31.8,76,0,No Failure
794,H,296.9,307.9,1547,32.6,79,0,No Failure
795,L,296.9,307.8,1605,37.0,84,0,No Failure
796,M,296.9,307.9,2010,18.9,86,0,No Failure
797,L,296.8,307.7,1565,40.1,89,0,No Failure
798,M,296.9,307.8,1828,24.6,91,0,No Failure
799,M,297.0,307.8,1579,34.1,94,0,No Failure
800,M,297.0,307.9,1882,24.2,97,0,No Failure
801,L,296.9,307.8,1285,52.1,100,0,No Failure
802,L,296.9,307.8,1571,35.0,102,0,No Failure
803,H,296.9,307.8,1549,37.8,104,0,No Failure
804,M,296.9,307.8,1544,37.6,109,0,No Failure
805,M,297.0,307.9,1412,47.4,112,0,No Failure
806,M,297.0,307.9,1422,53.0,115,0,No Failure
807,L,297.0,307.7,1867,22.8,118,0,No Failure
808,L,296.9,307.7,1424,43.3,120,0,No Failure
809,L,296.9,307.6,1452,45.7,122,0,No Failure
810,L,296.9,307.7,1550,39.7,124,0,No Failure
811,L,296.8,307.6,1588,37.6,126,0,No Failure
812,L,296.8,307.6,1338,44.4,128,0,No Failure
813,L,296.8,307.6,1513,40.0,130,0,No Failure
814,M,296.8,307.5,1470,45.9,132,0,No Failure
815,M,296.8,307.5,1516,36.7,135,0,No Failure
816,L,296.8,307.6,1434,48.3,138,0,No Failure
817,L,296.8,307.6,1368,52.0,140,0,No Failure
818,L,296.8,307.6,1304,48.7,142,0,No Failure
819,L,296.8,307.6,1398,46.7,144,0,No Failure
820,L,296.7,307.6,1516,37.4,146,0,No Failure
821,L,296.7,307.6,1474,41.7,148,0,No Failure
822,M,296.7,307.6,1547,34.7,150,0,No Failure
823,M,296.6,307.5,1482,39.9,153,0,No Failure
824,L,296.6,307.4,1436,42.8,156,0,No Failure
825,L,296.6,307.3,1474,40.0,158,0,No Failure
826,L,296.5,307.2,1481,38.2,160,0,No Failure
827,L,296.5,307.3,1501,42.1,162,0,No Failure
828,L,296.5,307.3,1566,37.2,164,0,No Failure
829,L,296.5,307.3,1579,34.5,166,0,No Failure
830,L,296.6,307.4,1631,35.0,168,0,No Failure
831,M,296.6,307.4,1544,42.3,170,0,No Failure
832,L,296.6,307.4,1521,38.6,173,0,No Failure
833,L,296.6,307.4,1616,28.0,175,0,No Failure
834,H,296.6,307.4,1333,50.2,177,0,No Failure
835,M,296.7,307.4,1533,32.5,182,0,No Failure
836,L,296.6,307.4,1368,45.1,185,0,No Failure
837,L,296.6,307.4,1465,47.8,187,0,No Failure
838,H,296.6,307.4,1406,41.5,189,0,No Failure
839,M,296.5,307.4,1565,43.5,194,0,No Failure
840,L,296.6,307.5,1582,37.9,197,0,No Failure
841,L,296.6,307.5,1439,45.5,199,0,No Failure
842,M,296.6,307.5,1566,35.0,201,0,No Failure
843,L,296.6,307.5,1485,42.7,204,0,No Failure
844,L,296.5,307.5,1566,35.1,206,0,No Failure
845,L,296.3,307.3,1439,41.5,208,0,No Failure
846,M,296.4,307.4,1416,50.0,210,0,No Failure
847,L,296.4,307.4,2833,5.6,213,1,Power Failure
848,L,296.3,307.4,1465,47.1,215,0,No Failure
849,H,296.4,307.4,1586,35.5,0,0,No Failure
850,L,296.3,307.3,1567,31.4,5,0,No Failure
851,M,296.2,307.2,1389,48.6,7,0,No Failure
852,M,296.3,307.3,1368,49.5,10,0,No Failure
853,L,296.3,307.3,1444,49.0,13,0,No Failure
854,M,296.3,307.3,1498,41.6,15,0,No Failure
855,L,296.1,307.2,1615,30.8,18,0,No Failure
856,L,296.1,307.1,1898,22.7,20,0,No Failure
857,M,296.1,307.1,1350,53.3,22,0,No Failure
858,M,296.2,307.0,1516,37.6,25,0,No Failure
859,H,296.2,307.0,1542,40.6,28,0,No Failure
860,H,296.1,306.9,1541,32.6,33,0,No Failure
861,M,296.1,306.9,1951,23.3,38,0,No Failure
862,H,296.1,306.8,1645,31.0,41,0,No Failure
863,L,296.0,306.7,1416,44.2,46,0,No Failure
864,M,296.0,306.7,2044,22.3,48,0,No Failure
865,L,295.9,306.6,1414,50.2,51,0,No Failure
866,L,295.9,306.6,1678,26.7,53,0,No Failure
867,H,295.9,306.5,1594,33.2,55,0,No Failure
868,M,295.8,306.5,1514,37.7,60,0,No Failure
869,L,295.8,306.5,1358,49.2,63,0,No Failure
870,L,295.8,306.4,1325,56.2,65,0,No Failure
871,L,295.8,306.4,1339,53.2,67,0,No Failure
872,M,295.8,306.4,1335,51.7,69,0,No Failure
873,L,295.9,306.4,1892,21.7,72,0,No Failure
874,L,295.9,306.4,1575,28.5,74,0,No Failure
875,M,295.8,306.3,1444,45.5,76,0,No Failure
876,L,295.7,306.3,1915,22.4,79,0,No Failure
877,M,295.6,306.2,1584,33.6,81,0,No Failure
878,M,295.7,306.3,1685,34.9,84,0,No Failure
879,L,295.8,306.3,1337,54.6,87,0,No Failure
880,M,295.8,306.3,1235,76.2,89,1,Power Failure
881,L,295.7,306.2,1464,46.2,92,0,No Failure
882,M,295.7,306.2,1739,25.9,94,0,No Failure
883,L,295.7,306.3,1490,34.3,97,0,No Failure
884,L,295.8,306.4,1356,48.0,99,0,No Failure
885,L,295.7,306.2,1397,52.0,101,0,No Failure
886,L,295.7,306.2,1458,40.6,103,0,No Failure
887,H,295.7,306.2,2161,16.5,105,0,No Failure
888,M,295.6,306.1,1651,28.1,110,0,No Failure
889,L,295.6,306.1,1389,46.2,113,0,No Failure
890,L,295.6,306.0,1370,52.4,115,0,No Failure
891,L,295.7,306.1,1408,47.9,117,0,No Failure
892,L,295.7,306.1,1343,54.4,119,0,No Failure
893,M,295.7,306.2,1423,42.5,121,0,No Failure
894,L,295.6,306.2,1426,48.6,124,0,No Failure
895,M,295.6,306.2,1435,51.6,126,0,No Failure
896,L,295.5,306.1,1573,35.1,129,0,No Failure
897,L,295.6,306.2,1612,31.2,131,0,No Failure
898,L,295.6,306.2,1446,49.9,133,0,No Failure
899,H,295.6,306.2,1329,55.3,135,0,No Failure
900,L,295.6,306.2,1569,35.1,140,0,No Failure
901,H,295.6,306.1,1256,62.3,142,0,No Failure
902,L,295.6,306.1,1383,48.7,147,0,No Failure
903,L,295.7,306.2,2270,14.6,149,1,Power Failure
904,H,295.7,306.2,1458,49.8,151,0,No Failure
905,L,295.6,306.1,1474,41.2,156,0,No Failure
906,M,295.6,306.1,1462,49.2,158,0,No Failure
907,M,295.6,306.1,1669,29.0,161,0,No Failure
908,M,295.5,306.1,1822,24.3,164,0,No Failure
909,L,295.5,306.0,1456,39.2,167,0,No Failure
910,L,295.5,306.0,1546,35.9,169,0,No Failure
911,M,295.6,306.1,1490,42.7,171,0,No Failure
912,L,295.6,306.0,1569,40.4,174,0,No Failure
913,L,295.5,306.0,1621,29.5,176,0,No Failure
914,M,295.4,305.9,1518,40.6,178,0,No Failure
915,M,295.4,305.8,1526,38.2,181,0,No Failure
916,M,295.3,305.8,1589,36.2,184,0,No Failure
917,L,295.3,305.7,1475,51.0,187,0,No Failure
918,M,295.3,305.7,1473,38.5,189,0,No Failure
919,L,295.4,305.8,1407,50.7,192,0,No Failure
920,M,295.5,305.9,1518,44.1,194,0,No Failure
921,H,295.5,305.9,1593,37.2,197,0,No Failure
922,M,295.5,305.9,1380,52.4,202,0,No Failure
923,M,295.5,306.0,1423,45.3,205,0,No Failure
924,L,295.5,306.0,1800,27.6,208,0,No Failure
925,H,295.6,306.1,1623,30.9,210,0,No Failure
926,L,295.6,306.1,1372,55.6,215,1,Overstrain Failure
927,H,295.6,306.0,1396,52.4,0,0,No Failure
928,L,295.6,306.0,1949,21.9,5,0,No Failure
929,L,295.6,306.0,1419,51.1,7,0,No Failure
930,M,295.5,305.9,1453,47.3,9,0,No Failure
931,L,295.5,305.9,1542,36.2,12,0,No Failure
932,L,295.6,306.0,1363,50.0,14,0,No Failure
933,L,295.5,306.0,1597,37.2,16,0,No Failure
934,M,295.5,306.0,1326,50.8,18,0,No Failure
935,M,295.5,306.0,1641,36.6,21,0,No Failure
936,M,295.6,306.1,1418,46.2,24,0,No Failure
937,L,295.6,306.2,1263,61.8,27,0,No Failure
938,L,295.6,306.2,1823,25.8,29,0,No Failure
939,L,295.5,306.1,1488,40.7,31,0,No Failure
940,L,295.6,306.2,1443,48.9,33,0,No Failure
941,L,295.6,306.2,1650,28.2,35,0,No Failure
942,M,295.7,306.3,1462,44.3,37,0,No Failure
943,M,295.6,306.2,1477,45.0,40,0,No Failure
944,M,295.7,306.3,1712,28.5,43,0,No Failure
945,M,295.7,306.3,1347,50.4,46,0,No Failure
946,L,295.6,306.2,1287,54.8,49,0,No Failure
947,L,295.6,306.2,1428,44.5,51,0,No Failure
948,M,295.6,306.3,1426,45.5,53,0,No Failure
949,L,295.6,306.3,1636,32.7,56,0,No Failure
950,L,295.6,306.2,1424,42.5,58,0,No Failure
951,H,295.6,306.3,1509,35.8,60,0,No Failure
952,L,295.5,306.2,1448,48.9,65,0,No Failure
953,L,295.5,306.1,1650,32.8,67,0,No Failure
954,H,295.6,306.2,1414,42.5,69,0,No Failure
955,L,295.6,306.3,1911,20.9,74,0,No Failure
956,H,295.6,306.2,1632,32.2,76,0,No Failure
957,M,295.7,306.4,1387,40.1,81,0,No Failure
958,L,295.8,306.4,1399,47.6,84,0,No Failure
959,L,295.8,306.5,1505,35.2,86,0,No Failure
960,L,295.8,306.5,1534,37.9,88,0,No Failure
961,L,295.8,306.5,1493,40.5,90,0,No Failure
962,M,295.8,306.6,1480,43.2,92,0,No Failure
963,L,295.8,306.6,1621,31.6,95,0,No Failure
964,L,295.7,306.5,1737,26.2,97,0,No Failure
965,L,295.8,306.6,1508,46.5,99,0,No Failure
966,M,295.8,306.5,1641,32.2,101,0,No Failure
967,M,295.9,306.6,1532,38.6,104,0,No Failure
968,L,295.9,306.7,1547,40.9,107,0,No Failure
969,L,295.9,306.6,1412,41.0,109,0,No Failure
970,L,295.8,306.5,1568,35.1,111,0,No Failure
971,L,295.9,306.6,1557,41.1,113,0,No Failure
972,L,295.8,306.6,1644,35.2,115,0,No Failure
973,L,295.9,306.6,1679,30.4,117,0,No Failure
974,L,296.0,306.6,1511,35.2,119,0,No Failure
975,M,296.0,306.6,1628,36.8,121,0,No Failure
976,M,296.0,306.6,1392,51.3,124,0,No Failure
977,L,296.0,306.7,1917,21.0,127,0,No Failure
978,M,296.2,306.8,1526,42.3,129,0,No Failure
979,L,296.2,306.8,1389,53.3,132,0,No Failure
980,L,296.1,306.7,1409,42.8,134,0,No Failure
981,L,296.2,306.8,1655,31.1,136,0,No Failure
982,L,296.2,306.9,1516,39.1,138,0,No Failure
983,L,296.2,306.9,1526,34.9,140,0,No Failure
984,L,296.3,307.1,1419,48.6,142,0,No Failure
985,L,296.4,307.2,1748,25.3,144,0,No Failure
986,H,296.4,307.1,1638,32.5,146,0,No Failure
987,M,296.3,307.1,1534,33.8,151,0,No Failure
988,H,296.3,307.1,1774,25.9,154,0,No Failure
989,M,296.2,307.0,2119,18.3,159,0,No Failure
990,L,296.2,307.0,1414,48.3,162,0,No Failure
